CODIGO_ACTIVIDAD,ANIO,H000B,H000C,H011B,H011C,H011D,H012B,H012C,H012D,H300B,H300C,H300D,H010B,H010C,H000D,I000B,I000C,I000D,I100B,I100C,I100D,I200B,I200C,I200D,H000E,H000F,I000E,I000F,J000A,J000B,J000C,J010A,J200A,J300A,J400A,J500A,J600A,K411A_K421A,K950A,K100A,K200A,K412A,K530A_K531A,K590A,K610A,K620A,K630A,K810A,K820A,K833A,K500A,K050A_K800A,K060A,K964A,K931A,K999A,M210A,M220A,M230A,M530A_M531A,M590A,M050A_M633A,M999A,M200A,M500A,M100A,M931A,Q100A,Q200A,Q300A,Q400A,Q900A,ESTATUS
4812,2019,1312,288,1045,232,3583,226,24,768,41,32,182,,,4533,670,270,1878,642,270,1829,28,0,49,,,,,1514348,,,955216,237698,125309,167875,28250,0,1924042,1527500,,113010,5298,145676,149228,226170,346,12036,20587,30251,130408,,17629,81916,0,,1266154,12680296,3883748,225247,296247,12225,127,429519,,,,,19687956,555793,873636,131762,202177,Cifras definitivas
4821,2019,7715,2522,7056,12,19743,659,2510,9205,0,0,0,,,28948,4142,183,10655,4137,183,10645,5,0,10,,,,,6562666,,,2142547,2399491,1030376,136957,853295,29990,11156748,3529992,,590028,112176,6205406,364874,5623428,1781,416820,37140,246327,441544,,4870,458150,1579,,5271794,239238,63797975,0,85866,0,0,1650124,,,,,16913549,13527197,1373621,1469063,39226676,Cifras definitivas
4841,2019,124556,16286,98210,1356,268468,24701,14663,102936,1644,267,4336,,,375739,11335,3515,36339,10546,3005,33190,789,510,3149,,,,,26833538,,,15524770,6133016,4202742,496006,477004,121318,50761548,12121656,,1062096,401870,5435728,3486117,2219724,198735,570684,128849,668757,11421873,,394760,4427653,40903,,10072344,0,176487106,13541,1442959,173803,946624,2667778,,,,,119957631,11579485,3818639,12024022,2373566,Cifras definitivas
4842,2019,75180,11128,61068,1500,162153,12424,9418,55255,1688,209,4226,,,221634,10540,1485,31369,9980,1297,29745,560,188,1624,,,,,17661325,,,10867312,3735627,2715396,122461,220530,220080,38604287,8531931,,2154052,128108,10984891,1675989,1620559,98901,638228,82006,398003,7889620,,191338,3008556,3668,,8947529,0,127165117,0,165931,2594,283044,1490805,,,,,101776435,5071154,19062560,1144730,2036076,Cifras definitivas
4851,2019,93944,9488,79372,3736,239916,10296,5441,46368,4276,311,11592,,,297876,16004,883,50390,3196,676,9967,12808,207,40423,,,,,12816613,,,8660993,1852919,2121685,159816,21200,308740,24483230,4367027,,1130455,1187067,210199,404185,745295,674506,309691,69380,297614,574358,,171743,690242,8477,,3674220,69761306,0,0,491637,83896,4779,2108379,,,,,101801621,2950941,429463,1624452,876083,Cifras definitivas
4852,2019,37813,4400,33706,2699,101881,4064,1688,15826,43,13,152,,,117859,3835,2553,15970,3500,2525,14934,335,28,1036,,,,,8887222,,,6200575,675156,1560262,285535,165694,101560,13840061,4053808,,590669,159799,233787,290097,1133944,68059,206766,54542,160860,1695096,,43845,250898,1258,,7220889,42950050,0,907201,235748,19309,0,2406669,,,,,37877675,2991502,454467,633198,554183,Cifras definitivas
4854,2019,19710,3121,19047,2454,59998,489,630,3345,174,36,520,,,63863,1008,19,3020,992,19,2971,16,0,49,,,,,3320927,,,2397570,138638,754505,27309,2906,865,5124419,1155234,,56087,50791,873151,95028,2991,755,170809,42345,74145,56592,,97893,178795,2631,,1034183,18525964,0,0,219664,865,3358,265681,,,,,18781200,964820,254392,847593,157616,Cifras definitivas
4881,2019,29312,6797,,,,,,,72,60,0,29240,6737,0,2736,1061,0,2439,924,0,297,137,0,,,,,11188613,,,,,,,,,628224,,3214,5954045,889108,,,317369,10922,,44980,225957,,1183922,,,,270599,5874279,,,,,,,2825298,48779350,7669038,19763,3030,10129047,11723075,989570,1988272,18840067,Cifras definitivas
4883,2019,11656,1960,,,,,,,0,0,0,11656,1960,0,184,116,0,177,115,0,7,1,0,,,,,3289192,,,,,,,,,549802,,23343,1910007,141557,,,88265,9447,,18679,39619,,716076,,,,86785,3759618,,,,,,,927366,19025840,580472,19163,0,14361154,13583601,323680,484709,1324876,Cifras definitivas
4884,2019,6914,5404,,,,,,,0,0,0,6914,5404,0,4532,1133,0,4409,1124,0,123,9,0,,,,,3483309,,,,,,,,,386645,,327394,6003610,234463,,,657783,20601,,16045,38033,,39875,,,,6423,3055331,,,,,,,661053,35253411,53982,268971,0,16533610,956827,123680,42180,80106,Cifras definitivas
