CODIGO_ACTIVIDAD,ANIO,H000B,H000C,H011B,H011C,H011D,H012B,H012C,H012D,H300B,H300C,H300D,H010B,H010C,H000D,I000B,I000C,I000D,I100B,I100C,I100D,I200B,I200C,I200D,H000E,H000F,I000E,I000F,J000A,J000B,J000C,J010A,J200A,J300A,J400A,J500A,J600A,K411A_K421A,K950A,K100A,K200A,K412A,K530A_K531A,K590A,K610A,K620A,K630A,K810A,K820A,K833A,K500A,K050A_K800A,K060A,K964A,K931A,K999A,M210A,M220A,M230A,M530A_M531A,M590A,M050A_M633A,M999A,M200A,M500A,M100A,M931A,Q100A,Q200A,Q300A,Q400A,Q900A,ESTATUS
4851,2022,86192,15000,,,,,,,,,,,,277530,12685,672,36508,,,,,,,235067,42463,34612,1896,13514453,10965288,2549165,,,,,,,17854076,4658018,,323238,252720,192383,257720,177478,1050601,,46752,120714,383701,,191038,975954,,,9061786,58340799,0,0,308742,195566,1115,542142,,,,,95847138,5368273,415296,1516517,608165,Cifras definitivas
4852,2022,36526,10365,,,,,,,,,,,,124212,458,133,1494,,,,,,,94258,29954,1187,307,8560626,6816182,1744444,,,,,,,11255995,3669820,,355198,147091,248676,266797,7128,98986,,278151,271410,2575480,,254450,250060,,,6360380,44229936,0,922781,260137,38558,0,1242062,,,,,52907565,4352670,394744,977858,856288,Cifras definitivas
4854,2022,20764,3359,,,,,,,,,,,,62033,403,7,1051,,,,,,,53458,8575,1035,16,3900028,3236521,663507,,,,,,,5165988,1296581,,103635,31264,1005727,202483,44791,11144,,25547,101104,94090,,37492,200257,,,2040615,18740246,0,0,626444,1330,0,225482,,,,,22094357,1157466,137102,317148,247364,Cifras definitivas
4881,2022,21756,8223,,,,,,,,,,,,74195,799,376,2580,,,,,,,54750,19446,1758,821,10485870,7644073,2841798,,,,,,,289663,,1657,8618251,714653,,,105073,20105,,33782,221315,,1064771,,,,,15145745,,,,,,,3694698,52274196,11304523,64,,10766656,29638520,1139979,2974756,12744484,Cifras definitivas
4883,2022,11350,2108,,,,,,,,,,,,35290,224,124,866,,,,,,,29747,5542,552,314,4388437,3790054,598383,,,,,,,672761,,33303,5120670,196781,,,172547,38222,,31805,58975,,1054006,,,,,3470797,,,,,,,3085007,28856528,867185,82776,,17286658,15522325,357908,515013,1430403,Cifras definitivas
4884,2022,6773,5183,,,,,,,,,,,,28220,1745,1038,7696,,,,,,,15079,13141,4810,2886,2972400,1962130,1010270,,,,,,,515989,,158060,5698084,114501,,,325361,49617,,13645,21791,,43585,,,,,2923342,,,,,,,311577,30967067,39903,297645,,8984715,1545539,259820,43128,76403,Cifras definitivas
4885,2022,133458,80528,,,,,,,,,,,,514160,12587,9226,52879,,,,,,,323455,190705,30276,22602,45371143,27949238,17421905,,,,,,,6418680,,121181,325193600,1032022,,,4353875,2540215,,967335,1924934,,12791538,,,,,54780440,,,,,,,6808594,550454263,1213820,61487,,30898851,75993806,12186763,7661739,9522556,Cifras definitivas
4921,2022,27535,6815,,,,,,,,,,,,81668,4870,464,14843,,,,,,,66203,15465,13609,1234,5525552,4311300,1214252,,,,,,,1700867,892661,,353723,121113,1576202,743483,461894,31860,,108384,199662,294720,,31932,462333,,,17306754,0,975886,44686701,2317,8070,2196,1525153,,,,,8238699,386113,545993,1364895,1671877,Cifras definitivas
4931,2022,26059,5155,,,,,,,,,,,,69504,3780,2618,15949,,,,,,,56325,13179,9227,6721,6354806,4557132,1797674,,,,,,,262289,,358423,7049217,786106,,,1037832,111359,,59782,212942,,3625705,,,,,12010670,,,,,,,1745975,58638309,540223,269712,,25730460,48276936,4121823,4195054,2678400,Cifras definitivas
4811,2023,18440,13367,,,,,,,,,,,,70660,522,454,2377,,,,,,,35432,35228,1235,1142,17550567,10001121,7549446,,,,,,,79553597,7319966,,3279765,13236,5949347,298227,732799,904,,320499,647102,19354725,,836,232508,,,22655132,171588556,10760930,1065,0,0,0,19749409,,,,,20305020,457758,47080,69621,2111900,Cifras preliminares
4812,2023,1818,429,,,,,,,,,,,,4790,400,157,1313,,,,,,,3723,1067,923,390,1633401,1295788,337613,,,,,,,2165896,1535980,,43313,7118,444750,259925,98144,15917,,23565,45519,117009,,19336,150004,,,1688514,13575264,2702068,0,99895,0,0,707694,,,,,21732689,670297,349404,170011,298196,Cifras preliminares
4821,2023,13594,680,,,,,,,,,,,,38276,55,26,160,,,,,,,36490,1786,109,51,11739530,11147075,592455,,,,,,,13068992,3133435,,2787964,116100,5938161,242028,18813,3123,,37432,144246,67108,,13694,733064,,,7624598,224949,80981823,0,60202,11726,119200,2070270,,,,,15019100,22163559,1473812,1829160,48043940,Cifras preliminares
4841,2023,122648,17129,,,,,,,,,,,,354912,3536,1007,11075,,,,,,,310592,44320,8954,2121,36879474,31800942,5078532,,,,,,,50747233,15572670,,1159789,313839,6636398,2612009,631308,202486,,153011,869741,14761487,,398699,4011819,,,13701705,0,196906980,15368,2787804,92073,3002656,3388163,,,,,144507818,10690582,3856747,8334178,3385184,Cifras preliminares
4842,2023,86446,14492,,,,,,,,,,,,251182,8030,1325,22643,,,,,,,213789,37393,19539,3104,27378284,22758131,4620153,,,,,,,49907028,14518774,,853321,276097,5534843,1681060,2814056,413339,,92759,849403,11688997,,264252,3086109,,,15672193,0,179385849,0,334342,368425,329688,2263269,,,,,122280121,7884057,5362645,4263328,4525151,Cifras preliminares
4851,2023,78698,14571,,,,,,,,,,,,234375,12797,636,38320,,,,,,,203599,30776,36533,1788,18212896,13446491,4766405,,,,,,,19163703,4470200,,310089,168506,211831,259396,234130,911512,,54859,124180,383008,,184249,629392,,,7248916,55203959,0,0,331219,220382,1153,578801,,,,,99542345,5568208,430961,1575322,631521,Cifras preliminares
4852,2023,39148,7096,,,,,,,,,,,,129124,288,138,1233,,,,,,,108353,20771,878,355,12055917,10240912,1815005,,,,,,,12684744,4044720,,480672,152295,249250,294495,9175,88000,,219308,258906,2272357,,291532,316719,,,7927411,47792272,0,841108,172272,48852,0,1339538,,,,,56475580,4654885,422149,1044988,915486,Cifras preliminares
4854,2023,21252,3343,,,,,,,,,,,,62433,400,6,1105,,,,,,,54025,8408,1092,13,4744758,3945924,798835,,,,,,,5878631,1462291,,111872,32252,972148,203519,37481,5482,,21343,104335,100227,,50841,236996,,,1772896,20112546,0,0,681750,1452,0,305487,,,,,22959244,1203711,142657,329942,257317,Cifras preliminares
4881,2023,28099,5260,,,,,,,,,,,,87538,434,147,1322,,,,,,,75182,12356,972,350,13088719,10572906,2515813,,,,,,,180479,,1011,8342650,630098,,,81558,21903,,34833,172692,,921640,,,,,15245235,,,,,,,3934265,58955625,11595324,65,,16712866,31168915,2016569,3236185,13440169,Cifras preliminares
4883,2023,11170,1880,,,,,,,,,,,,34909,165,98,666,,,,,,,29842,5067,424,242,5699296,4848693,850603,,,,,,,910410,,11747,6544856,276514,,,99227,38447,,58451,58489,,1443101,,,,,3526261,,,,,,,2498795,36519022,924085,35641,,17841975,16020964,369405,531559,1476353,Cifras preliminares
4884,2023,6928,5193,,,,,,,,,,,,27434,1298,734,5818,,,,,,,15870,11564,3729,2089,3397237,2201411,1195826,,,,,,,518322,,164874,6076013,171700,,,370415,11537,,19191,22961,,65685,,,,,3846798,,,,,,,329500,37051772,50918,377512,,9718336,1671733,281033,46653,82647,Cifras preliminares
4885,2023,128681,65000,,,,,,,,,,,,482971,9963,7724,43825,,,,,,,319581,163390,24390,19435,48264144,32478243,15785900,,,,,,,5442618,,967218,117942843,933248,,,3351984,1451598,,883868,2003034,,12360748,,,,,35762099,,,,,,,1069954,300696057,1464538,79591,,28605759,73894522,11891736,7397589,9265989,Cifras preliminares
4921,2023,32331,6413,,,,,,,,,,,,90231,2338,331,6045,,,,,,,76221,14010,5206,839,8720093,6800627,1919466,,,,,,,1875203,1048792,,481742,138296,1757908,1043718,322970,19973,,118277,211881,307286,,32616,561751,,,19651452,0,1023201,56565463,952,6938,2016,1731562,,,,,8539805,400437,568226,1425897,1733899,Cifras preliminares
4931,2023,30773,3913,,,,,,,,,,,,78363,2742,2092,12260,,,,,,,68669,9694,6849,5411,10334715,9162780,1171935,,,,,,,207755,,1041058,9422205,695181,,,893559,154484,,88206,161824,,2265784,,,,,13671865,,,,,,,1382215,54134118,199619,223871,,31199038,57000491,4080752,3849187,2682870,Cifras preliminares
